link,teamName
/cfb/schools/air-force/,Air Force
/cfb/schools/akron/,Akron
/cfb/schools/alabama/,Alabama
/cfb/schools/alabama-birmingham/,Alabama-Birmingham
/cfb/schools/appalachian-state/,Appalachian State
/cfb/schools/arizona/,Arizona
/cfb/schools/arizona-state/,Arizona State
/cfb/schools/arkansas/,Arkansas
/cfb/schools/arkansas-state/,Arkansas State
/cfb/schools/army/,Army
/cfb/schools/auburn/,Auburn
/cfb/schools/ball-state/,Ball State
/cfb/schools/baylor/,Baylor
/cfb/schools/boise-state/,Boise State
/cfb/schools/boston-college/,Boston College
/cfb/schools/bowling-green-state/,Bowling Green State
/cfb/schools/brigham-young/,Brigham Young
/cfb/schools/buffalo/,Buffalo
/cfb/schools/california/,California
/cfb/schools/central-florida/,Central Florida
/cfb/schools/central-michigan/,Central Michigan
/cfb/schools/cincinnati/,Cincinnati
/cfb/schools/clemson/,Clemson
/cfb/schools/colorado/,Colorado
/cfb/schools/colorado-state/,Colorado State
/cfb/schools/connecticut/,Connecticut
/cfb/schools/duke/,Duke
/cfb/schools/east-carolina/,East Carolina
/cfb/schools/eastern-michigan/,Eastern Michigan
/cfb/schools/florida/,Florida
/cfb/schools/florida-atlantic/,Florida Atlantic
/cfb/schools/florida-international/,Florida International
/cfb/schools/florida-state/,Florida State
/cfb/schools/fresno-state/,Fresno State
/cfb/schools/georgia/,Georgia
/cfb/schools/georgia-southern/,Georgia Southern
/cfb/schools/georgia-state/,Georgia State
/cfb/schools/georgia-tech/,Georgia Tech
/cfb/schools/hawaii/,Hawaii
/cfb/schools/houston/,Houston
/cfb/schools/idaho/,Idaho
/cfb/schools/illinois/,Illinois
/cfb/schools/indiana/,Indiana
/cfb/schools/iowa/,Iowa
/cfb/schools/iowa-state/,Iowa State
/cfb/schools/kansas/,Kansas
/cfb/schools/kansas-state/,Kansas State
/cfb/schools/kent-state/,Kent State
/cfb/schools/kentucky/,Kentucky
/cfb/schools/louisiana-state/,Louisiana State
/cfb/schools/louisiana-tech/,Louisiana Tech
/cfb/schools/louisiana-lafayette/,Louisiana-Lafayette
/cfb/schools/louisiana-monroe/,Louisiana-Monroe
/cfb/schools/louisville/,Louisville
/cfb/schools/marshall/,Marshall
/cfb/schools/maryland/,Maryland
/cfb/schools/massachusetts/,Massachusetts
/cfb/schools/memphis/,Memphis
/cfb/schools/miami-fl/,Miami (FL)
/cfb/schools/miami-oh/,Miami (OH)
/cfb/schools/michigan/,Michigan
/cfb/schools/michigan-state/,Michigan State
/cfb/schools/middle-tennessee-state/,Middle Tennessee State
/cfb/schools/minnesota/,Minnesota
/cfb/schools/mississippi/,Mississippi
/cfb/schools/mississippi-state/,Mississippi State
/cfb/schools/missouri/,Missouri
/cfb/schools/navy/,Navy
/cfb/schools/nebraska/,Nebraska
/cfb/schools/nevada/,Nevada
/cfb/schools/nevada-las-vegas/,Nevada-Las Vegas
/cfb/schools/new-mexico/,New Mexico
/cfb/schools/new-mexico-state/,New Mexico State
/cfb/schools/north-carolina/,North Carolina
/cfb/schools/north-carolina-state/,North Carolina State
/cfb/schools/north-texas/,North Texas
/cfb/schools/northern-illinois/,Northern Illinois
/cfb/schools/northwestern/,Northwestern
/cfb/schools/notre-dame/,Notre Dame
/cfb/schools/ohio/,Ohio
/cfb/schools/ohio-state/,Ohio State
/cfb/schools/oklahoma/,Oklahoma
/cfb/schools/oklahoma-state/,Oklahoma State
/cfb/schools/old-dominion/,Old Dominion
/cfb/schools/oregon/,Oregon
/cfb/schools/oregon-state/,Oregon State
/cfb/schools/penn-state/,Penn State
/cfb/schools/pittsburgh/,Pittsburgh
/cfb/schools/purdue/,Purdue
/cfb/schools/rice/,Rice
/cfb/schools/rutgers/,Rutgers
/cfb/schools/san-diego-state/,San Diego State
/cfb/schools/san-jose-state/,San Jose State
/cfb/schools/south-alabama/,South Alabama
/cfb/schools/south-carolina/,South Carolina
/cfb/schools/south-florida/,South Florida
/cfb/schools/southern-california/,Southern California
/cfb/schools/southern-methodist/,Southern Methodist
/cfb/schools/southern-mississippi/,Southern Mississippi
/cfb/schools/stanford/,Stanford
/cfb/schools/syracuse/,Syracuse
/cfb/schools/temple/,Temple
/cfb/schools/tennessee/,Tennessee
/cfb/schools/texas/,Texas
/cfb/schools/texas-am/,Texas A&M
/cfb/schools/texas-christian/,Texas Christian
/cfb/schools/texas-state/,Texas State
/cfb/schools/texas-tech/,Texas Tech
/cfb/schools/texas-el-paso/,Texas-El Paso
/cfb/schools/texas-san-antonio/,Texas-San Antonio
/cfb/schools/toledo/,Toledo
/cfb/schools/troy/,Troy
/cfb/schools/tulane/,Tulane
/cfb/schools/tulsa/,Tulsa
/cfb/schools/ucla/,UCLA
/cfb/schools/utah/,Utah
/cfb/schools/utah-state/,Utah State
/cfb/schools/vanderbilt/,Vanderbilt
/cfb/schools/virginia/,Virginia
/cfb/schools/virginia-tech/,Virginia Tech
/cfb/schools/wake-forest/,Wake Forest
/cfb/schools/washington/,Washington
/cfb/schools/washington-state/,Washington State
/cfb/schools/west-virginia/,West Virginia
/cfb/schools/western-kentucky/,Western Kentucky
/cfb/schools/western-michigan/,Western Michigan
/cfb/schools/wisconsin/,Wisconsin
/cfb/schools/wyoming/,Wyoming
